customer_id,customer_name,email,registration_date,customer_type
C00090,Vivaan Patel,vivaan.patel90@example.com,2023-10-05,REGULAR
C00091,Ananya Nair,ananya.nair91@example.com,2023-10-02,REGULAR
C00092,Aditya Sharma,aditya.sharma92@example.com,2024-02-04,REGULAR
C00093,Aarav Iyer,aarav.iyer93@example.com,2024-03-25,REGULAR
C00094,Vivaan Iyer,vivaan.iyer94@example.com,2023-09-28,PREMIUM
C00095,Diya Nair,diya.nair95@example.com,2024-04-22,PREMIUM
C00096,Arjun Patel,arjun.patel96@example.com,2024-04-11,PREMIUM
C00097,Aarav Patel,aarav.patel97@example.com,2024-01-22,PREMIUM
C00098,Diya Reddy,diya.reddy98@example.com,2024-02-25,REGULAR
C00099,Vivaan Khan,vivaan.khan99@example.com,2024-06-21,PREMIUM
C00100,Arjun Reddy,arjun.reddy100@example.com,2023-11-18,REGULAR
C00101,Arjun Reddy,arjun.reddy101@example.com,2024-06-28,REGULAR
C00102,Diya Iyer,diya.iyer102@example.com,2024-02-19,PREMIUM
C00103,Ishaan Iyer,ishaan.iyer103@example.com,2023-08-17,REGULAR
C00104,Meera Iyer,meera.iyer104@example.com,2024-06-26,REGULAR
C00105,Ishaan Patel,ishaan.patel105@example.com,2023-09-17,VIP
C00106,Ishaan Sharma,ishaan.sharma106@example.com,2024-05-16,REGULAR
C00107,Ananya Iyer,ananya.iyer107@example.com,2023-11-30,REGULAR
C00108,Meera Verma,meera.verma108@example.com,2023-12-26,PREMIUM
C00109,Arjun Gupta,arjun.gupta109@example.com,2024-06-18,PREMIUM
C00110,Aarav Das,aarav.das110@example.com,2023-10-09,REGULAR
C00111,Arjun Iyer,arjun.iyer111@example.com,2023-12-03,REGULAR
C00112,Ananya Nair,ananya.nair112@example.com,2024-02-01,REGULAR
C00113,Vivaan Gupta,vivaan.gupta113@example.com,2023-10-25,REGULAR
C00114,Diya Iyer,diya.iyer114@example.com,2023-12-17,REGULAR
C00115,Meera Patel,meera.patel115@example.com,2024-04-03,REGULAR
C00116,Diya Patel,diya.patel116@example.com,2023-08-30,REGULAR
C00117,Diya Das,diya.das117@example.com,2024-07-10,REGULAR
C00118,Arjun Khan,arjun.khan118@example.com,2023-09-18,REGULAR
C00119,Ananya Singh,ananya.singh119@example.com,2023-11-27,REGULAR
C00120,Arjun Das,arjun.das120@example.com,2023-11-11,PREMIUM
C00121,Aditya Verma,aditya.verma121@example.com,2024-02-16,REGULAR
C00122,Riya Iyer,riya.iyer122@example.com,2024-05-24,PREMIUM
C00123,Arjun Gupta,arjun.gupta123@example.com,2024-03-17,PREMIUM
C00124,Aditya Sharma,aditya.sharma124@example.com,2024-06-17,REGULAR
C00125,Kavya Nair,kavya.nair125@example.com,2024-06-03,REGULAR
C00126,Riya Reddy,riya.reddy126@example.com,2023-07-20,REGULAR
C00127,Diya Reddy,diya.reddy127@example.com,2024-04-26,REGULAR
C00128,Aarav Verma,aarav.verma128@example.com,2023-12-06,REGULAR
C00129,Meera Singh,meera.singh129@example.com,2024-06-15,REGULAR
C00130,Vivaan Singh,vivaan.singh130@example.com,2024-05-03,PREMIUM
C00131,Meera Das,meera.das131@example.com,2023-09-10,REGULAR
C00132,Kavya Nair,kavya.nair132@example.com,2023-10-26,REGULAR
C00133,Meera Singh,meera.singh133@example.com,2024-04-20,PREMIUM
C00134,Kavya Singh,kavya.singh134@example.com,2024-02-29,PREMIUM
C00135,Ishaan Das,ishaan.das135@example.com,2023-11-05,REGULAR
C00136,Ishaan Singh,ishaan.singh136@example.com,2024-06-01,PREMIUM
C00137,Arjun Gupta,arjun.gupta137@example.com,2024-01-21,REGULAR
C00138,Meera Verma,meera.verma138@example.com,2024-05-01,REGULAR
C00139,Diya Patel,diya.patel139@example.com,2023-07-15,REGULAR
C00140,Diya Khan,diya.khan140@example.com,2024-01-23,REGULAR
C00141,Diya Sharma,diya.sharma141@example.com,2024-03-27,PREMIUM
C00142,Diya Nair,diya.nair142@example.com,2023-07-20,REGULAR
C00143,Riya Khan,riya.khan143@example.com,2023-11-09,REGULAR
C00144,Ananya Gupta,ananya.gupta144@example.com,2023-12-24,PREMIUM
C00145,Diya Das,diya.das145@example.com,2023-10-05,PREMIUM
C00146,Arjun Singh,arjun.singh146@example.com,2024-03-20,REGULAR
C00147,Kavya Sharma,kavya.sharma147@example.com,2023-12-24,REGULAR
C00148,Diya Patel,diya.patel148@example.com,2023-11-14,PREMIUM
C00149,Riya Das,riya.das149@example.com,2024-06-27,PREMIUM
C00150,Riya Nair,riya.nair150@example.com,2023-08-06,REGULAR
C00151,Diya Patel,diya.patel151@example.com,2023-11-17,REGULAR
C00152,Ishaan Khan,ishaan.khan152@example.com,2024-01-25,REGULAR
C00153,Ananya Iyer,ananya.iyer153@example.com,2023-12-29,REGULAR
C00154,Diya Gupta,diya.gupta154@example.com,2024-05-30,REGULAR
C00155,Meera Sharma,meera.sharma155@example.com,2024-01-13,REGULAR
C00156,Vivaan Sharma,vivaan.sharma156@example.com,2024-06-25,VIP
C00157,Arjun Sharma,arjun.sharma157@example.com,2023-08-27,REGULAR
C00158,Aditya Singh,aditya.singh158@example.com,2023-08-03,REGULAR
C00159,Arjun Singh,arjun.singh159@example.com,2023-07-18,REGULAR
C00160,Ananya Patel,ananya.patel160@example.com,2023-09-04,REGULAR
C00161,Vivaan Patel,vivaan.patel161@example.com,2024-02-02,REGULAR
C00162,Aarav Gupta,aarav.gupta162@example.com,2023-09-20,REGULAR
C00163,Diya Khan,diya.khan163@example.com,2024-03-31,REGULAR
C00164,Arjun Verma,arjun.verma164@example.com,2023-07-20,PREMIUM
C00165,Riya Verma,riya.verma165@example.com,2023-09-25,PREMIUM
C00166,Ananya Das,ananya.das166@example.com,2023-12-04,REGULAR
C00167,Vivaan Das,vivaan.das167@example.com,2023-08-14,REGULAR
C00168,Diya Singh,diya.singh168@example.com,2024-05-17,REGULAR
C00169,Ananya Singh,ananya.singh169@example.com,2023-07-14,REGULAR
C00170,Aditya Das,aditya.das170@example.com,2023-08-12,REGULAR
C00171,Meera Singh,meera.singh171@example.com,2023-11-15,REGULAR
C00172,Riya Gupta,riya.gupta172@example.com,2024-01-27,PREMIUM
C00173,Vivaan Gupta,vivaan.gupta173@example.com,2023-11-23,REGULAR
C00174,Kavya Nair,kavya.nair174@example.com,2023-09-02,REGULAR
C00175,Ananya Sharma,ananya.sharma175@example.com,2023-10-31,PREMIUM
C00176,Aditya Singh,aditya.singh176@example.com,2024-03-24,REGULAR
C00177,Ishaan Iyer,ishaan.iyer177@example.com,2024-02-18,PREMIUM
C00178,Ishaan Das,ishaan.das178@example.com,2024-07-05,REGULAR
C00179,Arjun Verma,arjun.verma179@example.com,2024-03-09,PREMIUM
C00180,Kavya Das,kavya.das180@example.com,2024-03-09,REGULAR
C00181,Kavya Singh,kavya.singh181@example.com,2024-07-02,REGULAR
C00182,Arjun Khan,arjun.khan182@example.com,2023-07-22,REGULAR
C00183,Riya Iyer,riya.iyer183@example.com,2023-11-11,REGULAR
C00184,Ananya Khan,ananya.khan184@example.com,2023-10-03,REGULAR
C00185,Kavya Gupta,kavya.gupta185@example.com,2024-02-05,REGULAR
C00186,Vivaan Reddy,vivaan.reddy186@example.com,2024-01-31,REGULAR
C00187,Meera Patel,meera.patel187@example.com,2024-04-03,REGULAR
C00188,Kavya Gupta,kavya.gupta188@example.com,2023-09-13,VIP
C00189,Meera Nair,meera.nair189@example.com,2024-02-17,VIP
C00190,Arjun Gupta,arjun.gupta190@example.com,2024-03-16,REGULAR
C00191,Ishaan Sharma,ishaan.sharma191@example.com,2023-07-14,REGULAR
C00192,Ishaan Sharma,ishaan.sharma192@example.com,2024-06-13,REGULAR
C00193,Aditya Singh,aditya.singh193@example.com,2024-05-19,PREMIUM
C00194,Riya Gupta,riya.gupta194@example.com,2023-11-13,REGULAR
C00195,Ananya Patel,ananya.patel195@example.com,2024-06-14,REGULAR
C00196,Kavya Verma,kavya.verma196@example.com,2024-06-07,REGULAR
C00197,Vivaan Nair,vivaan.nair197@example.com,2023-08-23,REGULAR
C00198,Aditya Patel,aditya.patel198@example.com,2023-09-26,VIP
C00199,Vivaan Reddy,vivaan.reddy199@example.com,2024-05-11,REGULAR
C00200,Diya Nair,diya.nair200@example.com,2023-09-09,PREMIUM
C00201,Arjun Das,arjun.das201@example.com,2023-12-29,REGULAR
C00202,Kavya Gupta,kavya.gupta202@example.com,2023-09-13,VIP
C00203,Ishaan Nair,ishaan.nair203@example.com,2023-08-28,REGULAR
C00204,Vivaan Reddy,vivaan.reddy204@example.com,2023-08-25,REGULAR
C00205,Vivaan Patel,vivaan.patel205@example.com,2024-03-10,REGULAR
C00206,Vivaan Patel,vivaan.patel206@example.com,2024-07-09,REGULAR
C00207,Riya Singh,riya.singh207@example.com,2024-02-12,REGULAR
C00208,Ishaan Gupta,ishaan.gupta208@example.com,2023-07-17,PREMIUM
C00209,Vivaan Reddy,vivaan.reddy209@example.com,2024-02-26,PREMIUM
C00210,Riya Reddy,riya.reddy210@example.com,2023-12-06,REGULAR
C00211,Arjun Patel,arjun.patel211@example.com,2024-02-25,PREMIUM
C00212,Vivaan Sharma,vivaan.sharma212@example.com,2024-04-17,PREMIUM
C00213,Riya Nair,riya.nair213@example.com,2024-02-14,REGULAR
C00214,Kavya Gupta,kavya.gupta214@example.com,2023-07-18,REGULAR
C00215,Ishaan Das,ishaan.das215@example.com,2023-10-08,REGULAR
C00216,Vivaan Nair,vivaan.nair216@example.com,2024-06-20,PREMIUM
C00217,Ananya Nair,ananya.nair217@example.com,2024-03-04,REGULAR
C00218,Arjun Nair,arjun.nair218@example.com,2023-09-14,VIP
C00219,Ishaan Nair,ishaan.nair219@example.com,2024-06-20,PREMIUM
C00220,Aditya Singh,aditya.singh220@example.com,2023-10-19,REGULAR
C00221,Ishaan Patel,ishaan.patel221@example.com,2023-09-15,REGULAR
C00222,Kavya Verma,kavya.verma222@example.com,2023-11-13,REGULAR
C00223,Ananya Iyer,ananya.iyer223@example.com,2023-08-02,REGULAR
C00224,Aditya Iyer,aditya.iyer224@example.com,2023-12-13,REGULAR
C00225,Ishaan Khan,ishaan.khan225@example.com,2023-10-03,REGULAR
C00226,Vivaan Iyer,vivaan.iyer226@example.com,2024-03-03,REGULAR
C00227,Diya Das,diya.das227@example.com,2024-07-10,REGULAR
C00228,Meera Singh,meera.singh228@example.com,2023-12-12,REGULAR
C00229,Meera Iyer,meera.iyer229@example.com,2023-08-27,PREMIUM
C00230,Kavya Sharma,kavya.sharma230@example.com,2024-03-28,REGULAR
C00231,Aditya Gupta,aditya.gupta231@example.com,2023-11-29,PREMIUM
C00232,Kavya Verma,kavya.verma232@example.com,2024-06-26,VIP
C00233,Riya Reddy,riya.reddy233@example.com,2023-07-13,REGULAR
C00234,Meera Sharma,meera.sharma234@example.com,2023-10-02,REGULAR
C00235,Arjun Verma,arjun.verma235@example.com,2023-11-17,VIP
C00236,Aditya Singh,aditya.singh236@example.com,2024-02-12,REGULAR
C00237,Ishaan Khan,ishaan.khan237@example.com,2023-11-06,VIP
C00238,Arjun Singh,arjun.singh238@example.com,2023-10-02,REGULAR
C00239,Arjun Nair,arjun.nair239@example.com,2023-10-24,PREMIUM
C00240,Aditya Verma,aditya.verma240@example.com,2024-02-20,PREMIUM
C00241,Diya Iyer,diya.iyer241@example.com,2023-10-25,REGULAR
C00242,Aarav Gupta,aarav.gupta242@example.com,2024-02-09,PREMIUM
C00243,Riya Singh,riya.singh243@example.com,2024-04-25,REGULAR
C00244,Kavya Iyer,kavya.iyer244@example.com,2024-01-22,REGULAR
C00245,Meera Khan,meera.khan245@example.com,2023-11-20,VIP
C00246,Arjun Reddy,arjun.reddy246@example.com,2023-09-22,REGULAR
C00247,Diya Sharma,diya.sharma247@example.com,2024-01-30,PREMIUM
C00248,Diya Khan,diya.khan248@example.com,2023-08-06,PREMIUM
C00249,Aditya Singh,aditya.singh249@example.com,2024-06-22,REGULAR
C00250,Riya Iyer,riya.iyer250@example.com,2024-05-20,PREMIUM
C00251,Kavya Verma,kavya.verma251@example.com,2023-10-15,PREMIUM
C00252,Aarav Patel,aarav.patel252@example.com,2023-12-14,PREMIUM
C00253,Aditya Verma,aditya.verma253@example.com,2023-11-13,PREMIUM
C00254,Ishaan Iyer,ishaan.iyer254@example.com,2023-08-26,REGULAR
C00255,Vivaan Iyer,vivaan.iyer255@example.com,2023-07-31,PREMIUM
C00256,Diya Iyer,diya.iyer256@example.com,2023-08-25,PREMIUM
C00257,Kavya Das,kavya.das257@example.com,2024-06-22,REGULAR
C00258,Arjun Gupta,arjun.gupta258@example.com,2024-03-16,PREMIUM
C00259,Diya Verma,diya.verma259@example.com,2023-08-21,PREMIUM
C00260,Vivaan Singh,vivaan.singh260@example.com,2024-04-16,REGULAR
C00261,Aarav Sharma,aarav.sharma261@example.com,2024-01-26,PREMIUM
C00262,Ishaan Iyer,ishaan.iyer262@example.com,2024-01-01,REGULAR
C00263,Arjun Das,arjun.das263@example.com,2023-12-13,REGULAR
C00264,Aditya Patel,aditya.patel264@example.com,2024-04-12,REGULAR
C00265,Diya Nair,diya.nair265@example.com,2023-07-27,REGULAR
C00266,Riya Patel,riya.patel266@example.com,2024-03-14,REGULAR
C00267,Ishaan Singh,ishaan.singh267@example.com,2024-03-02,REGULAR
C00268,Kavya Gupta,kavya.gupta268@example.com,2023-07-30,REGULAR
C00269,Vivaan Singh,vivaan.singh269@example.com,2024-01-16,VIP
C00270,Ishaan Khan,ishaan.khan270@example.com,2023-07-23,REGULAR
C00271,Ishaan Reddy,ishaan.reddy271@example.com,2023-12-27,PREMIUM
C00272,Vivaan Reddy,vivaan.reddy272@example.com,2023-12-28,REGULAR
C00273,Riya Gupta,riya.gupta273@example.com,2023-07-18,REGULAR
C00274,Diya Gupta,diya.gupta274@example.com,2024-07-06,REGULAR
C00275,Aarav Nair,aarav.nair275@example.com,2023-10-30,PREMIUM
C00276,Ishaan Reddy,ishaan.reddy276@example.com,2023-09-04,PREMIUM
C00277,Arjun Reddy,arjun.reddy277@example.com,2023-08-28,REGULAR
C00278,Aditya Verma,aditya.verma278@example.com,2023-08-24,REGULAR
C00279,Ishaan Singh,ishaan.singh279@example.com,2024-06-23,REGULAR
C00280,Aditya Verma,aditya.verma280@example.com,2024-02-10,REGULAR
C00281,Diya Patel,diya.patel281@example.com,2024-03-30,REGULAR
C00282,Meera Iyer,meera.iyer282@example.com,2023-10-13,REGULAR
C00283,Ishaan Patel,ishaan.patel283@example.com,2024-03-01,PREMIUM
C00284,Kavya Gupta,kavya.gupta284@example.com,2024-01-19,PREMIUM
C00285,Kavya Verma,kavya.verma285@example.com,2024-04-29,PREMIUM
C00286,Arjun Khan,arjun.khan286@example.com,2023-09-29,REGULAR
C00287,Diya Sharma,diya.sharma287@example.com,2024-02-26,REGULAR
C00288,Kavya Iyer,kavya.iyer288@example.com,2023-08-01,PREMIUM
C00289,Ishaan Nair,ishaan.nair289@example.com,2023-12-28,PREMIUM
C00290,Ananya Verma,ananya.verma290@example.com,2023-07-31,REGULAR
C00291,Aarav Nair,aarav.nair291@example.com,2023-09-27,REGULAR
C00292,Riya Reddy,riya.reddy292@example.com,2023-08-14,REGULAR
C00293,Kavya Gupta,kavya.gupta293@example.com,2023-08-13,REGULAR
C00294,Aditya Sharma,aditya.sharma294@example.com,2024-06-21,REGULAR
C00295,Kavya Verma,kavya.verma295@example.com,2024-05-22,REGULAR
C00296,Meera Patel,meera.patel296@example.com,2023-12-25,REGULAR
C00297,Meera Khan,meera.khan297@example.com,2023-09-14,PREMIUM
C00298,Aditya Khan,aditya.khan298@example.com,2023-08-10,REGULAR
C00299,Kavya Nair,kavya.nair299@example.com,2023-12-15,VIP
C00300,Ishaan Sharma,ishaan.sharma300@example.com,2023-07-23,REGULAR
C00301,Kavya Singh,kavya.singh301@example.com,2024-03-12,PREMIUM
C00302,Vivaan Iyer,vivaan.iyer302@example.com,2023-10-06,PREMIUM
C00303,Ananya Sharma,ananya.sharma303@example.com,2023-12-20,REGULAR
C00304,Vivaan Singh,vivaan.singh304@example.com,2024-05-25,REGULAR
C00305,Riya Sharma,riya.sharma305@example.com,2024-06-15,PREMIUM
C00306,Arjun Patel,arjun.patel306@example.com,2023-09-25,REGULAR
C00307,Meera Reddy,meera.reddy307@example.com,2023-09-14,REGULAR
C00308,Arjun Iyer,arjun.iyer308@example.com,2024-04-26,PREMIUM
C00309,Riya Sharma,riya.sharma309@example.com,2024-02-20,PREMIUM
C00310,Aditya Patel,aditya.patel310@example.com,2023-10-08,REGULAR
C00311,Aditya Verma,aditya.verma311@example.com,2023-08-07,PREMIUM
C00312,Aditya Sharma,aditya.sharma312@example.com,2024-01-09,PREMIUM
C00313,Arjun Nair,arjun.nair313@example.com,2024-01-27,REGULAR
C00314,Ishaan Sharma,ishaan.sharma314@example.com,2024-05-07,PREMIUM
C00315,Meera Verma,meera.verma315@example.com,2024-06-08,REGULAR
C00316,Ananya Das,ananya.das316@example.com,2023-09-11,REGULAR
C00317,Meera Reddy,meera.reddy317@example.com,2023-08-31,REGULAR
C00318,Meera Gupta,meera.gupta318@example.com,2023-11-19,REGULAR
C00319,Aarav Sharma,aarav.sharma319@example.com,2023-11-08,PREMIUM
C00320,Diya Verma,diya.verma320@example.com,2023-11-02,PREMIUM
C00321,Kavya Verma,kavya.verma321@example.com,2024-05-30,REGULAR
C00322,Aditya Verma,aditya.verma322@example.com,2024-05-07,REGULAR
C00323,Riya Das,riya.das323@example.com,2023-07-12,REGULAR
C00324,Riya Das,riya.das324@example.com,2024-02-11,REGULAR
C00325,Riya Khan,riya.khan325@example.com,2024-05-21,PREMIUM
C00326,Vivaan Das,vivaan.das326@example.com,2024-03-22,REGULAR
C00327,Arjun Khan,arjun.khan327@example.com,2024-01-19,PREMIUM
C00328,Diya Khan,diya.khan328@example.com,2024-05-23,REGULAR
C00329,Ananya Gupta,ananya.gupta329@example.com,2024-01-01,VIP
C00330,Kavya Verma,kavya.verma330@example.com,2024-05-25,PREMIUM
C00331,Vivaan Khan,vivaan.khan331@example.com,2024-05-22,PREMIUM
C00332,Ananya Patel,ananya.patel332@example.com,2023-09-30,REGULAR
C00333,Meera Das,meera.das333@example.com,2024-01-24,REGULAR
C00334,Diya Iyer,diya.iyer334@example.com,2023-08-05,VIP
C00335,Diya Sharma,diya.sharma335@example.com,2024-02-14,REGULAR
C00336,Ananya Verma,ananya.verma336@example.com,2023-09-19,REGULAR
C00337,Aditya Singh,aditya.singh337@example.com,2024-03-18,PREMIUM
C00338,Ananya Das,ananya.das338@example.com,2024-01-04,REGULAR
C00339,Ishaan Nair,ishaan.nair339@example.com,2024-03-17,PREMIUM
C00340,Meera Nair,meera.nair340@example.com,2023-08-31,REGULAR
C00341,Meera Sharma,meera.sharma341@example.com,2023-09-03,PREMIUM
C00342,Ishaan Sharma,ishaan.sharma342@example.com,2024-04-09,REGULAR
C00343,Ishaan Iyer,ishaan.iyer343@example.com,2024-01-13,REGULAR
C00344,Aditya Nair,aditya.nair344@example.com,2023-08-09,REGULAR
C00345,Aditya Sharma,aditya.sharma345@example.com,2024-05-25,PREMIUM
C00346,Arjun Khan,arjun.khan346@example.com,2023-12-09,REGULAR
C00347,Aditya Iyer,aditya.iyer347@example.com,2024-02-02,PREMIUM
C00348,Riya Nair,riya.nair348@example.com,2024-05-28,PREMIUM
C00349,Aditya Patel,aditya.patel349@example.com,2023-08-29,REGULAR
C00350,Vivaan Gupta,vivaan.gupta350@example.com,2023-11-27,REGULAR
C00351,Kavya Nair,kavya.nair351@example.com,2023-11-27,REGULAR
C00352,Arjun Das,arjun.das352@example.com,2024-05-13,REGULAR
C00353,Vivaan Gupta,vivaan.gupta353@example.com,2023-07-29,REGULAR
C00354,Kavya Das,kavya.das354@example.com,2023-08-04,REGULAR
C00355,Arjun Khan,arjun.khan355@example.com,2023-09-08,REGULAR
C00356,Arjun Gupta,arjun.gupta356@example.com,2024-03-24,PREMIUM
C00357,Ishaan Gupta,ishaan.gupta357@example.com,2024-01-25,REGULAR
C00358,Kavya Khan,kavya.khan358@example.com,2024-04-12,REGULAR
C00359,Meera Reddy,meera.reddy359@example.com,2023-10-28,REGULAR
C00360,Ananya Verma,ananya.verma360@example.com,2023-12-20,PREMIUM
C00361,Aarav Khan,aarav.khan361@example.com,2024-07-01,REGULAR
C00362,Vivaan Iyer,vivaan.iyer362@example.com,2023-09-20,REGULAR
C00363,Diya Khan,diya.khan363@example.com,2024-02-13,REGULAR
C00364,Aarav Iyer,aarav.iyer364@example.com,2024-04-14,PREMIUM
C00365,Riya Singh,riya.singh365@example.com,2023-07-23,PREMIUM
C00366,Vivaan Khan,vivaan.khan366@example.com,2024-05-17,REGULAR
C00367,Riya Khan,riya.khan367@example.com,2023-10-16,REGULAR
C00368,Ishaan Iyer,ishaan.iyer368@example.com,2024-03-19,REGULAR
C00369,Aditya Verma,aditya.verma369@example.com,2023-10-23,REGULAR
C00370,Meera Das,meera.das370@example.com,2024-04-02,PREMIUM
C00371,Ananya Iyer,ananya.iyer371@example.com,2023-08-15,PREMIUM
C00372,Arjun Verma,arjun.verma372@example.com,2024-04-27,REGULAR
